weights,K,RMSE_train,RMSE_val,RMSE_test
uniform,1,0.0,0.7474044076721409,0.7737174591011129
uniform,2,0.38468509963567515,0.6440783409887343,0.6566939881072222
uniform,3,0.4498556236929319,0.6147826096042946,0.6218784646380495
uniform,4,0.47882735106746566,0.6059007737972559,0.6052766935911565
uniform,5,0.4992250943925227,0.5958654422191285,0.5938730640560742
uniform,6,0.5134963483543935,0.5891393105762739,0.5882373195397363
uniform,7,0.5226323573924854,0.5851290301052651,0.584459435895879
uniform,8,0.530439264476806,0.5849902758972232,0.5810452127894378
uniform,9,0.5356991784736694,0.5789537728621511,0.5822383263757985
uniform,10,0.540965956897132,0.5785555383083549,0.582011120500782
uniform,11,0.5452534916414012,0.5793097986890854,0.5829396824139387
uniform,12,0.5491543569749867,0.5796433028042578,0.5836393202446395
uniform,13,0.5522760527846058,0.5809449049595187,0.5830068465227494
uniform,14,0.555704018077532,0.580437866251986,0.5829428908372472
uniform,15,0.5586637339212139,0.5810116245246982,0.5836864471893061
uniform,16,0.56104229789899,0.5789466029439051,0.5829215413573671
uniform,17,0.5635726662389401,0.5787497326493763,0.5828076315630898
uniform,18,0.5657566686146801,0.5788814633892454,0.5828602538376237
uniform,19,0.5680867516701866,0.5786363233673071,0.5826976258687244
uniform,20,0.57000671737807,0.578027689489058,0.5825286287722367
uniform,21,0.5718288716405341,0.5778793530119342,0.5835862814406244
uniform,22,0.5734187491705676,0.5791774356414159,0.5845073750842842
uniform,23,0.5747846287321164,0.579266612821625,0.5852620320625088
uniform,24,0.5763328233182003,0.5793828631463278,0.5848522111084524
uniform,25,0.5779496686959843,0.5797224592368097,0.5848259291192306
uniform,26,0.5793111466715022,0.5799229222023586,0.5855339789002815
uniform,27,0.5807922690350092,0.5806688137568127,0.5854568620748136
uniform,28,0.5820601448713802,0.5817772512935243,0.5862930226868539
uniform,29,0.5832425527759212,0.5819523044720678,0.5867532113322405
uniform,30,0.5849454536010664,0.5823157723034244,0.5870195680565917
uniform,31,0.5860273137989737,0.582842590934214,0.5873553695096859
uniform,32,0.5871608617281938,0.583591440520752,0.5873710841380189
uniform,33,0.5881431479140531,0.5840397478781596,0.5879210806877431
uniform,34,0.5893204848220579,0.5848132717551217,0.5883868174832043
uniform,35,0.5904103098421818,0.5851535674681307,0.5893035491574081
uniform,36,0.5920338606252569,0.5858953358763261,0.5907808307667667
uniform,37,0.592974759247099,0.5864851182026501,0.5907112894856041
uniform,38,0.5939387804117043,0.5868414803323068,0.5913174054671638
uniform,39,0.594795577326134,0.5875558962039147,0.5921410909872799
uniform,40,0.5957138475566368,0.5883760649836937,0.5929896694114498
uniform,41,0.5965829121952919,0.5892618294025954,0.593455195385845
uniform,42,0.5970256500153529,0.5901151987893106,0.5934851564103242
uniform,43,0.5977971895341675,0.5904510175438377,0.5941368639217388
uniform,44,0.5986662800816094,0.5906131493447891,0.594702656909042
uniform,45,0.5997732907833222,0.5912200299044281,0.5948785652650479
uniform,46,0.6004455119884343,0.5915497266409586,0.595508005287317
uniform,47,0.6010966631080354,0.5922685565072588,0.5961735013562188
uniform,48,0.6020677978656815,0.5927773314019724,0.5966016518074323
uniform,49,0.6031347336585559,0.593342301314178,0.5973639585063376
uniform,50,0.6037651498029422,0.5937719170833324,0.597815080981379
distance,1,0.0,0.7474044076721409,0.7737174591011129
distance,2,0.0,0.6431695487932142,0.6563326190977814
distance,3,0.0,0.6123701920964231,0.6199442534105899
distance,4,0.0,0.6022247128022533,0.6029602192819229
distance,5,0.0,0.5923079474189713,0.5914342239151589
distance,6,0.0,0.5853451218411825,0.5852656632064064
distance,7,0.0,0.581177780126256,0.5811944698062194
distance,8,0.0,0.5805241700546601,0.5779129024684757
distance,9,0.0,0.5752204104943249,0.578357713245237
distance,10,0.0,0.574507294644082,0.5778881651022114
distance,11,0.0,0.5749569051720849,0.5784279123580318
distance,12,0.0,0.5750911221617485,0.5788663340408978
distance,13,0.0,0.576196448626594,0.5782369629512705
distance,14,0.0,0.5756765211660952,0.5781113303915184
distance,15,0.0,0.5760276211059301,0.5787113389131114
distance,16,0.0,0.5742343032275277,0.5780342794983312
distance,17,0.0,0.5740133664132618,0.5779582278695411
distance,18,0.0,0.5740307749204497,0.5780176791301539
distance,19,0.0,0.5738485279883466,0.5778969024589313
distance,20,0.0,0.573321581848977,0.5776864275715794
distance,21,0.0,0.5731220744823137,0.5786264603273117
distance,22,0.0,0.5742547187873921,0.5793854419919391
distance,23,0.0,0.5743661980689492,0.5800605698322449
distance,24,0.0,0.5744720268652789,0.5797132931600054
distance,25,0.0,0.5747171816375263,0.5796809287690945
distance,26,0.0,0.5749401458622599,0.5802578174310851
distance,27,0.0,0.5755967083419739,0.5802095219895185
distance,28,0.0,0.5765249806087244,0.5809548831611823
distance,29,0.0,0.5767169464080992,0.5813928523051178
distance,30,0.0,0.5770684375080961,0.5817061339213278
distance,31,0.0,0.5775465270233432,0.5820807508529019
distance,32,0.0,0.5781987367619094,0.5821173638397147
distance,33,0.0,0.5786343345049637,0.582597322849006
distance,34,0.0,0.5792787945644506,0.5829919891626086
distance,35,0.0,0.5796763889488463,0.5837896315051425
distance,36,0.0,0.5803929922687194,0.5850646293034186
distance,37,0.0,0.5809128410720381,0.5850577053505953
distance,38,0.0,0.5812448022768052,0.5856234282707761
distance,39,0.0,0.5818935287254628,0.5863347258317918
distance,40,0.0,0.5826549416806217,0.587096376416578
distance,41,0.0,0.5834429749427231,0.5875150373987801
distance,42,0.0,0.5841798306711063,0.5875779039088028
distance,43,0.0,0.5844852580862306,0.5881356759327354
distance,44,0.0,0.5846574754882186,0.5886198163892095
distance,45,0.0,0.5852400293312757,0.5887808867657265
distance,46,0.0,0.5855345259637069,0.5893498881448282
distance,47,0.0,0.586194113860382,0.5899510060925359
distance,48,0.0,0.5866609181643837,0.5903485794553859
distance,49,0.0,0.5871958025178743,0.5910269357083415
distance,50,0.0,0.587592943191245,0.5914479422676184
